Time[s], Channel 1
1.3522074375, 1
1.3522206875, 0
1.3522338125, 1
1.352247125, 0
1.35226025, 1
1.3522735, 0
1.352286625, 1
1.3522999375, 0
1.3523130625, 1
1.3523263125, 0
1.3523395, 1
1.35235275, 0
1.352365875, 1
1.3523791875, 0
1.3523923125, 1
1.3524055625, 0
1.3524186875, 1
1.352432, 0
1.352445125, 1
1.352458375, 0
1.3524715, 1
1.3524848125, 0
1.3524979375, 1
1.35251125, 0
1.352524375, 1
1.352537625, 0
1.35255075, 1
1.3525640625, 0
1.3525771875, 1
1.3525905, 0
1.352603625, 1
1.352616875, 0
1.35263, 1
1.3526433125, 0
1.3526564375, 1
1.3526696875, 0
1.352682875, 1
1.352696125, 0
1.35270925, 1
1.3527225625, 0
1.3527356875, 1
1.3527489375, 0
1.3527620625, 1
1.352775375, 0
1.3527885, 1
1.35280175, 0
1.352814875, 1
1.3528281875, 0
1.3528413125, 1
1.352854625, 0
1.35286775, 1
1.352881, 0
1.352894125, 1
1.3529074375, 0
1.3529205625, 1
1.352933875, 0
1.352947, 1
1.35296025, 0
1.352973375, 1
1.3529866875, 0
1.3529998125, 1
1.3530130625, 0
1.35302625, 1
1.3530395, 0
1.353052625, 1
1.3530659375, 0
1.3530790625, 1
1.3530923125, 0
1.3531054375, 1
1.35311875, 0
1.353131875, 1
1.353145125, 0
1.35359175, 1
1.353605, 0
1.353618125, 1
1.3536314375, 0
1.3536445625, 1
1.353657875, 0
1.353671, 1
1.35368425, 0
1.353697375, 1
1.3537106875, 0
1.3537238125, 1
1.3537370625, 0
1.3537501875, 1
1.3537635, 0
1.353776625, 1
1.353789875, 0
1.353803, 1
1.3538163125, 0
1.3538294375, 1
1.3538426875, 0
1.3538558125, 1
1.353869125, 0
1.35388225, 1
1.3538955, 0
1.3539086875, 1
1.3539219375, 0
1.3539350625, 1
1.353948375, 0
1.3539615, 1
1.35397475, 0
1.353987875, 1
1.3540011875, 0
1.3540143125, 1
1.354027625, 0
1.35404075, 1
1.354054, 0
1.354067125, 1
1.3540804375, 0
1.3540935625, 1
1.3541068125, 0
1.3541199375, 1
1.35413325, 0
1.354146375, 1
1.354159625, 0
1.35417275, 1
1.3541860625, 0
1.3541991875, 1
1.3542124375, 0
1.354225625, 1
1.354238875, 0
1.354252, 1
1.3542653125, 0
1.3542784375, 1
1.3542916875, 0
1.3543048125, 1
1.354318125, 0
1.35433125, 1
1.3543445, 0
1.354357625, 1
1.3543709375, 0
1.3543840625, 1
1.3543973125, 0
1.3544105, 1
1.35442375, 0
1.354436875, 1
1.3544501875, 0
1.3544633125, 1
1.3544765625, 0
1.3544896875, 1
1.354503, 0
1.354516125, 1
1.354529375, 0
1.3545425, 1
1.3545558125, 0
1.3545689375, 1
1.3545821875, 0
1.3545953125, 1
1.354608625, 0
1.35462175, 1
1.3546350625, 0
1.3546481875, 1
1.3546614375, 0
1.3546745625, 1
1.354687875, 0
1.354701, 1
1.35471425, 0
1.3547274375, 1
1.3547406875, 0
1.3547538125, 1
1.354767125, 0
1.35478025, 1
1.3547935, 0
1.354806625, 1
1.3548199375, 0
1.3548330625, 1
1.3548463125, 0
1.355301, 1
1.3553143125, 0
1.3553274375, 1
1.3553406875, 0
1.3553538125, 1
1.355367125, 0
1.35538025, 1
1.3553935625, 0
1.3554066875, 1
1.3554199375, 0
1.3554330625, 1
1.355446375, 0
1.3554595, 1
1.35547275, 0
1.3554859375, 1
1.3554991875, 0
1.3555123125, 1
1.355525625, 0
1.35553875, 1
1.355552, 0
1.3555651875, 1
1.3555784375, 0
1.3555915625, 1
1.355604875, 0
1.355618, 1
1.35563125, 0
1.355644375, 1
1.3556576875, 0
1.3556708125, 1
1.3556840625, 0
1.35569725, 1
1.3557105, 0
1.357011875, 1
1.357025125, 0
1.35703825, 1
